,price,points,variety,winery,province,country,lat,lng
100,90,97,Picolit,Livio Felluga,Northeastern Italy,Italy,,
101,330,97,Chardonnay,Louis Jadot,Burgundy,France,,
102,95,97,Pinot Noir,Louis Jadot,Burgundy,France,,
103,260,97,Pinot Noir,Louis Jadot,Burgundy,France,,
104,288,97,Pinot Noir,Louis Jadot,Burgundy,France,,
105,300,97,Pinot Noir,Louis Jadot,Burgundy,France,,
106,468,97,Pinot Noir,Louis Jadot,Burgundy,France,,
107,229,97,Champagne Blend,Louis Roederer,Champagne,France,,
108,249,97,Champagne Blend,Louis Roederer,Champagne,France,,
109,93,97,Sangiovese Grosso,Luce della Vite,Tuscany,Italy,,
110,70,97,Pinot Noir,Lynmar,California,US,,
111,100,97,Pinot Noir,Lynmar,California,US,,
112,95,97,Red Blend,Marchesi Antinori,Tuscany,Italy,,
113,102,97,Red Blend,Marchesi Antinori,Tuscany,Italy,,
114,325,97,Red Blend,Marchesi Antinori,Tuscany,Italy,,
115,100,97,Sangiovese,Marchesi de' Frescobaldi,Tuscany,Italy,,
116,550,97,Merlot,Masseto,Tuscany,Italy,,
117,52,97,Pinot Noir,Melville,California,US,,
118,54,97,Pinot Noir,Merry Edwards,California,US,,
119,90,97,Cabernet Sauvignon,Napa Angel,California,US,,
120,100,97,Red Blend,Niebaum-Coppola,California,US,,
121,80,97,Port,Niepoort,Portugal,Portugal,,
122,95,97,Port,Niepoort,Port,Portugal,,
123,240,97,Red Blend,Ornellaia,Tuscany,Italy,,
124,195,97,Bordeaux-style Red Blend,Ovid,California,US,,
125,150,97,Cabernet Sauvignon,Paul Hobbs,California,US,,
126,225,97,Cabernet Sauvignon,Penfolds,South Australia,Australia,,
127,150,97,Shiraz,Penfolds,South Australia,Australia,,
128,600,97,Shiraz,Penfolds,South Australia,Australia,,
129,275,97,Champagne Blend,Pol Roger,Champagne,France,,
130,95,97,Cabernet Sauvignon,Quilceda Creek,Washington,US,,
131,100,97,Portuguese Red,Quinta do Vale Mẹo,Douro,Portugal,,
132,95,97,Syrah,Qup̩,California,US,,
133,65,97,Chardonnay,Ramey,California,US,,
134,65,97,Cabernet Sauvignon,Redmon,California,US,,
135,120,97,Red Blend,Ridge,California,US,,
136,612,97,Riesling,Robert Weil,Rheingau,Germany,,
137,60,97,Chardonnay,Rochioli,California,US,,
138,350,97,Chardonnay,Salon,Champagne,France,,
139,65,97,Tempranillo Blend,San Vicente,Northern Spain,Spain,,
140,445,97,Riesling,Schloss Johannisberger,Rheingau,Germany,,
141,486,97,Riesling,Schloss Johannisberger,Rheingau,Germany,,
142,175,97,Champagne Blend,Schramsberg,California,US,,
143,80,97,Pinot Noir,Sea Smoke,California,US,,
144,85,97,Pinot Noir,Semper,California,US,,
145,50,97,Pinot Noir,Sequana,California,US,,
146,190,97,Cabernet Sauvignon,Shafer,California,US,,
147,225,97,Cabernet Sauvignon,Shafer,California,US,,
148,110,97,Bordeaux-style Red Blend,Signorello,California,US,,
149,130,97,Cabernet Sauvignon,Spottswoode,California,US,,
150,195,97,Cabernet Sauvignon,Stag's Leap Wine Cellars,California,US,,
151,75,97,Cabernet Sauvignon,Stonestreet,California,US,,
152,70,97,Pinot Noir,Talley,California,US,,
153,225,97,Port,Taylor Fladgate,Port,Portugal,,
154,240,97,Merlot,Tenuta dell'Ornellaia,Tuscany,Italy,,
155,460,97,Merlot,Tenuta dell'Ornellaia,Tuscany,Italy,,
156,200,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,Italy,,
157,200,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,Italy,,
158,215,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,Italy,,
159,240,97,Red Blend,Tenuta dell'Ornellaia,Tuscany,Italy,,
160,190,97,Red Blend,Tenuta San Guido,Tuscany,Italy,,
161,220,97,Red Blend,Tenuta San Guido,Tuscany,Italy,,
162,227,97,Red Blend,Tenuta San Guido,Tuscany,Italy,,
163,227,97,Tinta de Toro,Teso La Monja,Northern Spain,Spain,,
164,150,97,Bordeaux-style Red Blend,The Maiden,California,US,,
165,105,97,Shiraz,Torbreck,South Australia,Australia,,
166,50,97,Cabernet Sauvignon,Trefethen,California,US,,
167,350,97,Merlot,Tua Rita,Tuscany,Italy,,
168,130,97,Sangiovese,Valdicava,Tuscany,Italy,,
169,208,97,Champagne Blend,Veuve Clicquot Ponsardin,Champagne,France,,
170,150,97,Tempranillo,Vi̱edos de Paganos,Northern Spain,Spain,,
171,130,97,Nebbiolo,Vietti,Piedmont,Italy,,
172,130,97,Bordeaux-style Red Blend,Vieux Ch̢teau Certan,Bordeaux,France,,
173,150,97,Cabernet Sauvignon,Vine Cliff,California,US,,
174,250,97,Riesling,Von Othegraven,Mosel-Saar-Ruwer,Germany,,
175,100,97,Red Blend,Von Strasser,California,US,,
176,95,97,Chardonnay,William F̬vre,Burgundy,France,,
177,50,97,Chardonnay,Williams Selyem,California,US,,
178,59,97,Pinot Noir,Williams Selyem,California,US,,
179,72,97,Pinot Noir,Williams Selyem,California,US,,
180,75,97,Pinot Noir,Williams Selyem,California,US,,
181,78,97,Pinot Noir,Williams Selyem,California,US,,
182,82,97,Pinot Noir,Williams Selyem,California,US,,
183,85,97,Pinot Noir,Williams Selyem,California,US,,
184,95,97,Pinot Noir,Williams Selyem,California,US,,
185,125,97,Pinot Noir,Williams Selyem,California,US,,
186,625,97,Cabernet Sauvignon,Yao Ming,California,US,,
